Name,O_ana_MV_C2459,O_ana_AM_M8258,O_ana_QM_J20672_ERR,O_ana_QVM_M1988x1x141_ERR,O_ana_QVM_M1987x1x105_ERR,O_ana_QM_JM1086_ERR,O_ana_MV_C29796_ERR,O_ana_ANWC_M3708_ERR,O_ana_MV_C2459_ERR,O_ana_ANWC_M1279_ERR,O_ana_AM_M8258_ERR,O_ana_SAM_M6043_ERR,O_ana_QVM_M1987x1x105,O_ana_ANWC_M3708,O_ana_QM_J20672,O_ana_QVM_M1988x1x141,O_ana_QM_JM1086,O_ana_MV_C29796,O_ana_ANWC_M1279,O_ana_SAM_M6043
X LM_R_vooc,37.65872498,0.176867318,30.07896118,38.41697693,-16.08764801,37.05191956,-22.46537933,20.96265564,37.63482666,9.076501465,0.228389001,29.91835327,-16.04276123,21.71469421,29.82532959,38.50814209,37.76405334,-22.47530975,9.075405884,29.62945862
Y LM_R_vooc,-86.81466064,-40.84015198,-14.42939911,-31.89159546,-92.65196533,-10.63952789,-27.83704834,-93.29210205,-86.94736328,-19.39359589,-40.65725403,-34.1933136,-92.74351807,-93.55921631,-14.6456192,-31.86256714,-10.28629227,-27.85917969,-18.6907135,-34.35007019
Z LM_R_vooc,22.88123474,-8.195885468,17.3219696,38.21893616,10.39946289,28.6478363,13.91220856,18.44059448,22.90026855,20.93825684,-8.174498749,39.46414185,10.41893616,18.56719055,17.63921509,38.15108948,28.51998901,13.96919861,20.32949829,39.13172607
X LM_R_vomx,29.39371033,6.414698792,-18.49212494,39.46822205,-4.331195068,-8.796684265,-17.45575562,20.74377899,29.25979614,-28.5711853,6.457791138,4.759271622,-3.942281342,20.6940979,-18.51343536,39.17843018,-8.760819244,-17.48013306,-28.77599182,5.53191185
Y LM_R_vomx,-29.64693909,-89.11479492,-2.594788933,-90.53330078,-29.13100586,-1.515049171,-84.21726685,-24.23035278,-29.66145935,2.409528923,-89.38319702,8.132034302,-28.95829468,-24.26727295,-2.570334244,-90.66652832,-1.481508064,-84.13636475,2.149720383,8.057108307
Z LM_R_vomx,11.22704773,-1.133369732,26.08187866,32.67111816,14.39534302,-14.90211334,16.77098083,28.91515503,11.21818008,-16.25493164,-0.842933178,3.394865799,14.1404953,28.95205383,26.07567444,32.13500671,-14.93128357,16.90639191,-15.98612213,3.660412979
X LM_R_smx,26.71911011,3.337343597,-41.8941925,44.0375061,-1.086535168,-23.52841644,-17.94930725,23.57450867,26.80174255,-51.11383057,3.118676186,2.692803955,-1.275680733,23.47597656,-42.00431824,43.7941925,-23.34010315,-17.93906097,-51.07047729,2.825815773
Y LM_R_smx,-4.957846832,-107.6524414,6.025052643,-111.7414917,-6.701204681,0.851818466,-101.8867676,-2.281629181,-5.03705864,12.00602875,-107.9724365,25.10845032,-6.635710144,-2.764391899,6.087421417,-111.8125488,0.684088278,-101.8484375,12.04005585,24.37796783
Z LM_R_smx,12.95097198,1.232173443,23.62971497,27.3351532,7.544073486,-35.28979492,22.23194122,27.24205322,12.93402863,-27.83847656,1.194947433,-15.5080307,7.321537018,27.56727905,23.5610321,27.25369263,-35.26637268,22.19090729,-27.98919373,-15.10654907
X LM_R_pf,29.60281677,4.673654938,14.90654297,32.97079773,-6.604705048,22.22965088,-15.33261108,21.93792419,29.35784912,-4.038278198,4.613783646,20.02099457,-6.394710922,22.12483826,14.91152496,32.75481262,22.2778595,-15.16945953,-4.207531357,20.2273407
Y LM_R_pf,-69.77531738,-55.96148071,-8.211742401,-50.83125916,-72.76570435,-2.703568077,-45.57406311,-70.20368652,-69.59707031,-17.2800354,-56.24493408,-16.53135834,-72.58244019,-70.12290649,-7.977330017,-51.67746582,-2.730298424,-45.83164673,-17.29123688,-16.45379486
Z LM_R_pf,16.54453583,-1.183265018,24.93264618,33.49685059,12.57182693,16.81057434,12.92652588,28.42110901,16.55836334,5.115683365,-0.989154243,33.07651367,12.00027771,28.38209229,24.75322418,34.5072113,16.75638733,12.62900162,5.080610657,33.13074951
X LM_R_oc,41.1000946,-2.130590057,47.882901,37.78146362,-19.62602081,52.27053223,-22.88991852,20.75949097,40.93126221,21.96649323,-1.924815941,37.42363281,-19.59474487,21.00365295,48.02098999,37.71331177,52.85553589,-22.75875244,22.0231781,37.4693634
Y LM_R_oc,-105.0810669,-25.91770935,-17.49909973,-13.26877899,-111.8509644,-11.24169617,-12.61049042,-109.8809326,-105.6361694,-27.88519287,-25.67067566,-48.43351135,-111.9084595,-110.2926758,-17.36159668,-13.26835785,-10.41988831,-12.26779175,-27.81547546,-48.37663269
Z LM_R_oc,27.7999115,-10.13914871,14.96742401,39.84233704,10.25649109,42.17449646,13.48142548,16.17152863,27.5466095,31.46459961,-9.940555573,51.71171265,10.20245972,16.56589966,15.00335846,39.84102478,42.22423096,13.34896393,31.41432495,51.92888184
X LM_R_mxor,18.85098114,6.258512497,12.18625336,27.68077087,4.187232971,20.00840759,-6.632570648,28.13852539,19.08504333,-11.21676331,6.482904053,20.02597961,5.133659744,28.05367432,12.58610687,26.77872314,19.81831207,-7.171142578,-11.43977585,20.30189209
Y LM_R_mxor,-65.01220703,-60.08835449,0.445177794,-56.66665649,-67.70473633,8.436759186,-49.40693665,-66.94890137,-65.26518555,-22.4085434,-60.05791626,-5.284418106,-68.57670898,-66.58769531,0.280076718,-56.68915405,8.389318848,-49.2080658,-22.00449371,-5.49149704
Z LM_R_mxor,14.89475403,7.205374146,29.9882019,26.43189087,8.924383545,11.94561691,14.82447662,37.39225769,15.54595795,-1.476544762,7.325104523,35.57600403,9.494707489,37.595224,30.54255066,26.43100586,11.77070541,15.18313293,-1.216564178,35.44098511
X LM_R_mxdp,22.62127991,2.453036118,9.206449127,34.16887817,-0.775590086,19.98453979,-11.29095612,28.73890076,23.41101227,-14.11351471,1.9071455,22.05843506,-0.609284973,28.36663208,9.22434845,34.4085144,19.76755219,-10.94160309,-14.09496918,22.77873077
Y LM_R_mxdp,-60.08356934,-62.55968018,-0.005256626,-58.42002563,-64.34852295,3.446337509,-54.42581787,-62.89830933,-60.15281372,-17.99820709,-61.59667358,-6.020714188,-64.00665283,-62.7128479,-0.269744754,-57.88480835,2.890126419,-55.00432739,-17.38168488,-6.13512764
